id,proper,mag,absmag,dist,ra,dec,x,y,z
0,Sol,-26.7,4.85,0.0,0.0,0.0,5e-06,0.0,0.0
70666,Proxima Centauri,11.01,15.447000000000001,1.2959,14.495985000000001,-62.679485,-0.472264,-0.361451,-1.151219
71456,Rigil Kentaurus,-0.01,4.379,1.3248,14.660765,-60.833976,-0.49520299999999995,-0.414084,-1.156625
87665,Barnard's Star,9.54,13.235,1.8238,17.963472,4.693388,-0.017373,-1.816613,0.149123
53879,Lalande 21185,7.49,10.46,2.5469,11.055632000000001,35.969877000000004,-1.998,0.504305,1.4955040000000002
32263,Sirius,-1.44,1.454,2.6371,6.7524809999999995,-16.716116,-0.49432299999999996,2.476731,-0.7584850000000001
113687,Lacaille 9352,7.35,9.773,3.2759,23.097531,-35.853072999999995,2.581532,-0.6213529999999999,-1.918773
37173,Procyon,0.4,2.6710000000000003,3.5142,7.655033,5.224993,-1.4693120000000002,3.17617,0.320024
36107,Luyten's Star,9.84,11.94,3.8026,7.456805,5.225785,-1.409549,3.514856,0.346358
24129,Kapteyn's Star,8.86,10.898,3.9114,5.1941690000000005,-45.018417,0.578997,2.705174,-2.76822
104751,Lacaille 8760,6.69,8.709,3.9462,21.287725,-38.867362,2.330004,-2.003156,-2.476477
110547,Kruger 60,9.59,11.579,4.001,22.466642,57.695875,1.9680330000000001,-0.83547,3.381486
3820,Van Maanen's Star,12.37,14.222000000000001,4.2626,0.819416,5.38861,4.146957,0.9035190000000001,0.400348
97338,Altair,0.76,2.21,5.1295,19.846388,8.868322000000001,2.355468,-4.4873,0.7907489999999999
15471,82 G. Eri,4.26,5.354,6.0434,3.331944,-43.069784000000006,2.839238,3.381499,-4.127498999999999
12082,268 G. Cet,5.79,6.5089999999999995,7.1803,2.601357,6.88687,5.538462,4.4882230000000005,0.8610129999999999
3759,96 G. Psc,5.74,6.377999999999999,7.4549,0.8063819999999999,5.280615,7.258367999999999,1.555495,0.6860930000000001
90979,Vega,0.03,0.604,7.6787,18.61564,38.783691999999995,0.960565,-5.908009,4.809731
113008,Fomalhaut,1.17,1.7369999999999999,7.7036,22.960838,-29.622235999999997,6.450517,-1.7994759999999999,-3.807757
118084,p Eridani,5.8,6.245,8.1466,1.6630029999999998,-56.19461999999999,4.110128,1.912046,-6.7701
57767,Groombridge 1830,6.42,6.627000000000001,9.0917,11.882819999999999,37.718678999999995,-7.187678999999999,0.22024699999999997,5.561623
37718,Pollux,1.16,1.084,10.3584,7.755277,28.026199,-4.055465,8.19518,4.867171
57459,Denebola,2.14,1.933,10.9999,11.817663,14.57206,-10.633925999999999,0.508011,2.767546
69451,Arcturus,-0.05,-0.307,11.2575,14.261029999999998,19.18241,-8.823447999999999,-5.932531,3.6989379999999996
67711,Mufrid,2.68,2.396,11.396,13.911411,18.397717,-9.487671,-5.188142,3.5967089999999997
61748,Porrima,2.74,2.4019999999999997,11.685,12.694345,-1.449375,-11.488622,-2.111702,-0.295552
24549,Capella,0.08,-0.51,13.1234,5.27815,45.997991,1.712633,8.954439,9.440007000000001
97725,Alshain,3.71,3.0269999999999997,13.6986,19.921886999999998,6.406763,6.563853999999999,-11.925647,1.528534
85769,Rasalhague,2.08,1.215,14.8965,17.582241,12.560035000000001,-1.587067,-14.453242000000001,3.2394540000000003
104861,Alderamin,2.45,1.564,15.0376,21.30963,62.585573,5.276111,-4.483201,13.348778
36744,Castor,1.58,0.615,15.5958,7.576633999999999,31.888276,-5.311938,12.130011,8.238737
744,Caph,2.28,1.155,16.7842,0.152887,59.14978000000001,8.600014,0.344589,14.409502999999999
54712,Zosma,2.56,1.294,17.9147,11.235138000000001,20.523717,-16.442201,3.337108,6.280742
8884,Sheratan,2.64,1.365,17.9856,1.910668,20.808035,14.752622,8.063457000000001,6.389157
68714,Menkent,2.06,0.78,18.0343,14.111395000000002,-36.369954,-12.358808,-7.624204,-10.694288
9861,Hamal,2.01,0.486,20.1776,2.119555,23.462423,15.731986,9.751722000000001,8.033610000000001
21368,Aldebaran,0.87,-0.682,20.4332,4.5986769999999995,16.509301,7.02722,18.287604,5.806661
102157,Gienah,2.48,0.7390000000000001,22.2916,20.770178,33.970256,12.262597,-13.834612,12.455654
76835,Unukalhai,2.63,0.852,22.6757,15.737798000000002,6.4256269999999995,-12.5786,-18.695648000000002,2.537718
76035,Alphekka,2.22,0.41,23.0097,15.578128,26.714693,-12.176093,-16.558746,10.343974000000001
72396,Zubenelgenubi,2.75,0.919,23.2396,14.847976999999998,-16.041778,-16.408580999999998,-15.151817999999999,-6.421874
90217,Kaus Borealis,2.82,0.922,23.9693,18.466179,-25.4217,2.635486,-21.487046,-10.289309
49528,Regulus,1.36,-0.569,24.3132,10.139532,11.967207,-21.018857,11.132218,5.041397
53754,Merak,2.34,0.39899999999999997,24.4499,11.030677,56.382427,-13.103033,3.398358,20.360601000000003
59592,Megrez,3.32,1.358,24.6853,12.257086,57.032617,-13.402308999999999,-0.9034549999999999,20.710384
28288,Menkalinan,1.9,-0.078,24.8694,5.9921489999999995,44.947433000000004,0.036195,17.601288,17.569058
65272,Alcor,3.99,1.995,25.0564,13.420413,54.987958,-13.393436,-5.2236080000000005,20.521915
86475,Cebalrai,2.76,0.762,25.0941,17.724543,4.567303,-1.8023330000000002,-24.949291,1.9982369999999998
62757,Alioth,1.76,-0.256,25.31,12.900472,55.959821,-13.775959,-3.3091690000000002,20.972944000000002
57828,Phad,2.41,0.377,25.5037,11.897167999999999,53.694759999999995,-15.094867,0.406425,20.552678
2076,Ankaa,2.4,0.327,25.974,0.43805600000000006,-42.305981,19.083654,2.198282,-17.483284
65173,Mizar,2.23,0.129,26.3089,13.398747,54.925362,-14.115808,-5.413302,21.531272
60776,Algorab,2.94,0.813,26.6312,12.497739,-16.515432,-25.316094,-3.317674,-7.57057
60893,Gacrux,1.59,-0.579,27.1518,12.519428999999999,-57.113212,-14.606901,-1.998688,-22.800748000000002
23820,Cursa,2.78,0.591,27.3973,5.130829,-5.086446,6.156194,26.585876000000003,-2.429001
14540,Algol,2.09,-0.11199999999999999,27.571,3.136148,40.955648,14.189428,15.238793,18.072114000000003
3413,Diphda,2.04,-0.312,29.5334,0.72649,-17.986604999999997,27.583638,5.3104629999999995,-9.119792
88361,Nash,2.98,0.616,29.7,18.096803,-30.424090999999997,0.6489689999999999,-25.602281,-15.040072
676,Alpheratz,2.07,-0.297,29.7442,0.139791,29.090432,25.974572,0.951042,14.461264000000002
6672,Ruchbah,2.66,0.24,30.4785,1.430216,60.235282999999995,14.082378,5.53413,26.457566999999997
108922,Alnair,1.73,-0.725,30.9693,22.137209,-46.960975,18.672504999999997,-9.904001,-22.635193
